termID,termfull,descriptiontext
Alignmentadjustment,Alignment adjustment,The adjustment applied to the expenditure and income measures of Gross Domestic Product that allows ONS to balance these with the output measure of Gross Domestic Product.
Appreciation,Appreciation,An increase in the value of an asset or currency relative to another asset or currency.
Asset,Asset,"An item or claim that usually provides a flow of benefits – either income or services – to its owner. Real assets include land, buildings or machinery owned. Financial assets include cash and securities, and credit extended to customers."
Balanceofpayments,Balance of payments,"The accounting record of UK transactions with the rest of the world, including international institutions. Also known as the Pink Book."
Balancesheet,Balance sheet,"A statement, drawn up at a particular point in time, recording the assets held by and financial claims (liabilities) of a business, organisation or country."
Baserate,Base rate,"Set by the Bank of England in the conduct of monetary policy, it is the rate of interest used by commercial banks as the basis for their lending rates to the public."
Basicprices,Basic prices,Prices excluding taxes and subsidies on products.
BlueBook,Blue Book,"The familiar name of the ‘United Kingdom National Accounts’ produced annually by ONS. It contains estimates of Gross Domestic Product measured by the output, expenditure and income approaches."
Bond,Bond,"A financial instrument that usually pays interest to the holder, issued by governments, companies and other institutions. Most bonds have a fixed date on which the borrower will repay the holder."
Businesscycle,Business cycle,The short-run fluctuations of output around its long-term trend.
Capital,Capital,"One of the factors of production, providing a stream of revenues or services to its owner. Capital can include tangible assets – such as plant or machinery – or intangible assets – such as software and knowledge."
CentralBank,Central Bank,"The national institution that oversees the monetary system, ensures the health of the financial system and acts as lender of last resort."
ChainedVolumeMeasuresCVM,Chained Volume Measures (CVM),"These time series have the effects of inflation removed by considering changes in quantity between consecutive periods, holding prices from previous periods constant."
Claimantcount,Claimant count,The total number of individuals claiming Job Seekers Allowance (JSA).
Compensationofemployees,Compensation of employees,"Total remuneration payable to employees in cash or in kind, including the value of social contributions payable by the employer."
ConstantPriceKPseries,Constant Price (KP) series,These series have the effects of inflation removed by holding prices throughout the series at the level in a chosen base year (also known as “real terms” series).
Consumerprices,Consumer prices,Prices offered to the public at the point of sale.
ConsumerPricesIndexCPI,Consumer Prices Index (CPI),A measure of the price level in the economy based on the prices of a collection of goods that are designed to reflect the consumption basket of the average consumer.
Consumption,Consumption,"Expenditure on goods and services designed to satisfy individual or collective wants, as distinct from their purchase for use in business processes."
Contagion,Contagion,The transmission of an economic shock in one economy to other nearby or linked economies.
Costbenefitanalysis,Cost-benefit analysis,"The identification, measurement and comparison of the costs and benefits associated with a specific project or intervention to determine its net value."
Currentaccount,Current account,"Details the UK’s trade in goods and services with the rest of the world, as well as current transfers and income flows in to and out of the UK from cross-border investments."
CurrentpriceCPseries,Current price (CP) series,These series include the effects of inflation.
Debt,Debt,An obligation or liability to make a payment or a payment in kind.
Deficit,Deficit,Occurs when outward financial flows exceed inward financial flows. A “government deficit” occurs when expenditure exceeds the value of tax revenues and asset sales in a given period.
Deflation,Deflation,"A decline in the general price level in an economy, signified by an annual inflation rate below 0% (negative)."
Deflatorimplied,Deflator (implied),"A series that shows changes in price and can be used to convert nominal values into “real” values, which are adjusted for the effects of inflation. An implied deflator is a series that shows the implied change in average prices for a variable by dividing the current price series by the real or volume series."
Depreciation,Depreciation,A fall in the value of an asset or currency relative to another asset or currency.
Directtaxation,Direct taxation,"Taxes on income, profits and wealth, paid directly by the bearer to the tax authorities."
Disposableincome,Disposable income,Household income after the deduction of taxes and the addition of benefits.
Dividend,Dividend,A payment made to company shareholders from current or previously retained profits.
Economics,Economics,The study of the allocation of scarce resources to satisfy individual and collective wants.
Euroarea,Euro area,The group of European countries that have officially adopted the euro (€) as their currency.
EuropeanCentralBankECB,European Central Bank (ECB),"The central bank for the economies that are using the Euro currency, responsible for conducting monetary policy in the euro area."
EuropeanSystemofAccountsESA,European System of Accounts (ESA),An integrated system of economic accounts. The United Kingdom National Accounts have been based on ESA 1995 since September 1998.
Exchangerate,Exchange rate,The value of one currency in terms of a second currency.
Exports,Exports,Goods or services sold to agents in other countries; the opposite of imports.
Factorygateprices,Factory gate prices,"Also known as output prices, these are the prices of goods sold by UK manufacturers. They include costs such as labour, raw materials and energy, as well as costs such as interest on loans, site maintenance or rent."
Finalconsumptionexpenditure,Final consumption expenditure,"The expenditure on those goods and services used for the direct satisfaction of individual or collective needs, as distinct from their purchase for use in business processes."
FinancialIntermediationServicesIndirectlyMeasuredFISIM,Financial Intermediation Services Indirectly Measured (FISIM),This represents the implicit charge for the service provided by monetary financial institutions paid for by the interest differential between borrowing and lending rather than through fees and commissions.
Fiscalpolicy,Fiscal policy,Taxation and spending measures that allow the government to guide the economy.
ForeignDirectInvestmentFDI,Foreign Direct Investment (FDI),Investment by firms in another country. Outward FDI is investment by UK-based firms overseas. Inward FDI is investment by overseas firms in the UK. This is usually achieved through the purchase of a different firm or the establishment of new operations.
Frictionalunemployment,Frictional unemployment,The number of people who are classed as unemployed while they are moving between jobs.
Fullemployment,Full employment,"A state of the labour market in which everyone who is willing and able to work at the current wage rate is in employment, excluding those who are frictionally unemployed."
GDPOGDPEGDPI,"GDP(O), GDP(E), GDP(I)","These are 3 different methods of calculating gross domestic product (GDP) – a measure of economic activity. In theory, these 3 measures should equal each other. GDP(O) is the sum of all production activity with the economy (the output approach), as estimated using gross value added (GVA). GDP(E) is the sum of all final expenditures by the economy (the expenditure approach). GDP(I) is the sum of all income generated by production within the economy (the income approach)."
Giltedgedsecuritiesshortenedtogilts,Gilt-edged securities (shortened to gilts),Bonds issued by the UK government. These assets usually offer a low but certain return. Gilts are equivalent to US Treasuries and German Bunds.
Governmentdebt,Government debt,The accumulated borrowing of central and local government.
Governmentexpenditure,Government expenditure,Spending by national and local government and some government-backed institutions.
Governmentrevenue,Government revenue,"The money government receives from taxation, plus non-tax revenues such as money from government-owned firms."
GrossCapitalFormationGCF,Gross Capital Formation (GCF),"The sum of the value of gross fixed capital formation, changes in inventories and acquisitions less disposals of valuables for a unit or sector."
GrossDomesticProductGDP,Gross Domestic Product (GDP),A measure of the economic activity produced by a country or region.
GrossFixedCapitalFormationGFCF,Gross Fixed Capital Formation (GFCF),Acquisitions less the disposals of fixed assets and the improvement of land.
GrossNationalProductGNP,Gross National Product (GNP),GDP plus net income from abroad.
GrossValueAddedGVA,Gross Value Added (GVA),The value generated by any unit engaged in production and the contributions of individual sectors or industries to Gross Domestic Product.
HumanDevelopmentIndexHDI,Human Development Index (HDI),"A composite statistic based on healthcare, education and economic statistics designed to rank countries by their level of development."
Hyperinflation,Hyper-inflation,"A period of very high rates of inflation, usually leading to a loss of confidence in an economy’s currency."
Imports,Imports,Purchases of foreign goods and services; the opposite of exports.
Incometax,Income tax,A tax on earnings.
Indexnumbers,Index numbers,"Data relative to a given base value, which typically refers to a year."
Indirecttaxation,Indirect taxation,"Taxes on expenditure (e.g. VAT). They are paid to the tax authorities, not by the consumer, but indirectly by the suppliers of the goods or services."
Inflationrate,Inflation rate,The annual rate of change of the average price of goods and services.
Intangibleassets,Intangible assets,"Intangible fixed assets include mineral exploration, computer software and entertainment, and literary and artistic originals. Expenditure on them is part of gross fixed capital formation. They exclude non-produced intangible assets such as patented entities, leases, transferable contracts and purchased goodwill, expenditure on which would be intermediate consumption."
Interestrate,Interest rate,The cost of borrowing expressed at an annual rate: the amount of interest that would be paid during a year divided by the amount of money loaned.
Intermediateconsumption,Intermediate consumption,The consumption of goods and services in the production process. It may be contrasted with final consumption and capital formation.
InternationalMonetaryFundIMF,International Monetary Fund (IMF),A Fund set up as a result of the Bretton Woods Conference of 1944 and that began operations in 1947. It includes most of the major economies of the world. The Fund was set up to supervise the fixed exchange rate system agreed at Bretton Woods and to make available to its members a pool of foreign exchange resources to assist them when they have balance of payments difficulties.
Inventoriesalsoknownasstocks,Inventories (also known as stocks),"Consist of finished goods (held by the producer prior to sale, further processing or other use) and products (materials and fuel) acquired from other producers to be used for intermediate consumption or resold without further processing."
Investment,Investment,Spending on capital goods.
Liabilities,Liabilities,A claim on an institutional unit by another body that gives rise to a payment or other transaction transferring assets to the other body.
